User;Antasena - Pendaftaran User;1 Day;60 Mins;1 Day;;;;
User;Antasena - Reset Password;1 Day;60 Mins;1 Day;;;;
User;Antasena - User Expire;1 Day;60 Mins;1 Day;;;;
User;ARS 73 - Pendaftaran User Baru;1 Day;60 Mins;1 Day;;;;
User;ARS 73 - Perubahan User;1 Day;60 Mins;1 Day;;;;
User;ARS 73 - Buka Blokir;1 Day;60 Mins;1 Day;;;;
User;ARS 73 - Mutasi User;1 Day;60 Mins;1 Day;;;;
User;Brocad (Broker) - Pendaftaran User Baru;1 Day;60 Mins;1 Day;;;;
User;Brocad (Broker) - Perubahan User;1 Day;60 Mins;1 Day;;;;
User;BSG Qris - Buka Blokir & Reset Password;1 Day;60 Mins;1 Day;;;;
User;BSG Qris - Mutasi User;1 Day;60 Mins;1 Day;;;;
User;BSG Qris - Pendaftaran User;1 Day;60 Mins;1 Day;;;;
User;BSG Qris - Perpanjang Masa Berlaku;1 Day;60 Mins;1 Day;;;;
User;BSG Qris - Perubahan User;1 Day;60 Mins;1 Day;;;;
User;BSGTouch - Mutasi User;1 Day;60 Mins;1 Day;;;;
User;BSGTouch - Pendaftaran User Baru;1 Day;60 Mins;1 Day;;;;
User;BSGTouch - Buka Blokir & Reset Password;1 Day;60 Mins;1 Day;;;;
User;BSGTouch - Perpanjang Masa Berlaku;1 Day;60 Mins;1 Day;;;;
User;BSGTouch - Perubahan User;1 Day;60 Mins;1 Day;;;;
User;Digital Dashboard - Pendaftaran User;1 Day;60 Mins;1 Day;;;;
User;Domain - Pendaftaran / Perubahan User;5 Days;60 Mins;5 Days;;;;
User;Domain - Reset Password;5 Days;60 Mins;5 Days;;;;
User;eLos - Mutasi User;5 Days;60 Mins;5 Days;;;;
User;eLos - Pendaftaran Akses VPN;5 Days;60 Mins;5 Days;;;;
User;eLos - Pendaftaran User;5 Days;60 Mins;5 Days;;;;
User;eLos - Perubahan User;5 Days;60 Mins;5 Days;;;;
User;eLos - Reset Akses User;5 Days;60 Mins;5 Days;;;;
User;eLos - Reset Password User;5 Days;60 Mins;5 Days;;;;
User;HRMS - Pengaktifan dan Reset Password User;5 Days;60 Mins;5 Days;;;;
User;MS Office - Pendaftaran Email Baru;5 Days;60 Mins;5 Days;;;;
User;MS Office - Reset Password;5 Days;60 Mins;5 Days;;;;
User;OLIBs - Buka Blokir;1 Day;60 Mins;1 Day;;;;
User;OLIBs - Mutasi User Pegawai;1 Day;60 Mins;1 Day;;;;
User;OLIBs - Non Aktif User;1 Day;60 Mins;1 Day;;;;
User;OLIBs - Override Password;1 Day;60 Mins;1 Day;;;;
User;OLIBs - Pendaftaran User Baru;1 Day;60 Mins;1 Day;;;;
User;OLIBs - Perubahan Menu dan Limit Transaksi;1 Day;60 Mins;1 Day;;;;
User;Payroll - Pendaftaran User;1 Day;60 Mins;1 Day;;;;
User;Payroll - Reset Batas Koneksi;1 Day;60 Mins;1 Day;;;;
User;Payroll - Perubahan User;1 Day;60 Mins;1 Day;;;;
User;BSG Portal - Mutasi User;1 Day;60 Mins;1 Day;;;;
User;BSG Portal - Reset Password;1 Day;60 Mins;1 Day;;;;
User;SIKP - Pendaftaran User;1 Day;60 Mins;1 Day;;;;
User;SKNBI - Mutasi User;1 Day;60 Mins;1 Day;;;;
User;SKNBI - Pendaftaran User;1 Day;60 Mins;1 Day;;;;
User;SKNBI - Reset Password;1 Day;60 Mins;1 Day;;;;
